ibsym,Desc,filename,c2sym,multiplier,CSIsym2,CSIsym,triggertime,margin,reqId,contractMonth,liquidHours,longName,minTick,tradingHours,timeZoneId,underConId,evRule,evMultiplier,expiry,exchange,secType,currency,contracts,Date,timestamp
AUD,Australian Dollar-CME(Floor+Electronic Combined),AD_0_I0R.TXT,@AD,100000,AD,AD,30,1500,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,Australian dollar,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,14433401.0,,0.0,20171218,GLOBEX,FUT,USD,AUD20171218,20171201,1512201608
ZL,Soybean Oil-CBT (Floor+Electronic Combined),BO20_I0R.TXT,@BO,60000,BO2,BO,15,825,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0830-1320;20171205:0830-1320;20171206:0830-1320;20171207:0830-1320;20171208:0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:0830-1320;20171212:0830-1320;20171213:0830-1320;20171214:0830-1320;20171215:0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:0830-1320;20171219:0830-1320;20171220:0830-1320;20171221:0830-1320;20171222:0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:0830-1320;20171226:0830-1320;20171227:0830-1320;20171228:0830-1320;20171229:0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:0830-1320;20180102:0830-1320;20180103:0830-1320;20180104:0830-1320;20180105:0830-1320,Soybean Oil Futures,0.0001,"20171202:CLOSED;20171203:CLOSED;20171204:1900-0745,0830-1320;20171205:1900-0745,0830-1320;20171206:1900-0745,0830-1320;20171207:1900-0745,0830-1320;20171208:1900-0745,0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:1900-0745,0830-1320;20171212:1900-0745,0830-1320;20171213:1900-0745,0830-1320;20171214:1900-0745,0830-1320;20171215:1900-0745,0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:1900-0745,0830-1320;20171219:1900-0745,0830-1320;20171220:1900-0745,0830-1320;20171221:1900-0745,0830-1320;20171222:1900-0745,0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:1900-0745,0830-1320;20171226:1900-0745,0830-1320;20171227:1900-0745,0830-1320;20171228:1900-0745,0830-1320;20171229:1900-0745,0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:1900-0745,0830-1320;20180102:1900-0745,0830-1320;20180103:1900-0745,0830-1320;20180104:1900-0745,0830-1320;20180105:1900-0745,0830-1320",CST,11160669.0,,0.0,20180112,ECBOT,FUT,USD,ZL20180112,20171201,1512201608
GBP,British Pound-CME(Floor+Electronic Combined),BP_0_I0R.TXT,@BP,62500,BP,BP,30,2750,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,British pound,0.0001,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,12087797.0,,0.0,20171218,GLOBEX,FUT,USD,GBP20171218,20171201,1512201608
ZC,Corn-CBT (Floor+Electronic Combined),C2_0_I0R.TXT,@C,5000,C2,C,15,900,1729.0,201803,20171202:CLOSED;20171203:CLOSED;20171204:0830-1320;20171205:0830-1320;20171206:0830-1320;20171207:0830-1320;20171208:0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:0830-1320;20171212:0830-1320;20171213:0830-1320;20171214:0830-1320;20171215:0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:0830-1320;20171219:0830-1320;20171220:0830-1320;20171221:0830-1320;20171222:0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:0830-1320;20171226:0830-1320;20171227:0830-1320;20171228:0830-1320;20171229:0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:0830-1320;20180102:0830-1320;20180103:0830-1320;20180104:0830-1320;20180105:0830-1320,Corn Futures,0.0025,"20171202:CLOSED;20171203:CLOSED;20171204:1900-0745,0830-1320;20171205:1900-0745,0830-1320;20171206:1900-0745,0830-1320;20171207:1900-0745,0830-1320;20171208:1900-0745,0830-1320;20171209:CLOSED;20171210:CLOSED;20171211:1900-0745,0830-1320;20171212:1900-0745,0830-1320;20171213:1900-0745,0830-1320;20171214:1900-0745,0830-1320;20171215:1900-0745,0830-1320;20171216:CLOSED;20171217:CLOSED;20171218:1900-0745,0830-1320;20171219:1900-0745,0830-1320;20171220:1900-0745,0830-1320;20171221:1900-0745,0830-1320;20171222:1900-0745,0830-1320;20171223:CLOSED;20171224:CLOSED;20171225:1900-0745,0830-1320;20171226:1900-0745,0830-1320;20171227:1900-0745,0830-1320;20171228:1900-0745,0830-1320;20171229:1900-0745,0830-1320;20171230:CLOSED;20171231:CLOSED;20180101:1900-0745,0830-1320;20180102:1900-0745,0830-1320;20180103:1900-0745,0830-1320;20180104:1900-0745,0830-1320;20180105:1900-0745,0830-1320",CST,11160400.0,,0.0,20180314,ECBOT,FUT,USD,ZC20180314,20171201,1512201608
CAD,Canadian Dollar-CME(Floor+Electronic Combined),CD_0_I0R.TXT,@CD,100000,CD,CD,30,1200,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-1600;20171219:0830-0916,CAD.USD Forex,5e-05,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-1600;20171219:1700-0916,CST,15016251.0,,0.0,20171219,GLOBEX,FUT,USD,CAD20171219,20171201,1512201608
CL,Crude Oil-Light-NYMEX(Floor+Electronic Combined),CL20_I0R.TXT,QCL,1000,CL2,CL,30,2900,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0930-1700;20171205:0930-1700;20171206:0930-1700;20171207:0930-1700;20171208:0930-1700;20171209:CLOSED;20171210:CLOSED;20171211:0930-1700;20171212:0930-1700;20171213:0930-1700;20171214:0930-1700;20171215:0930-1700;20171216:CLOSED;20171217:CLOSED;20171218:0930-1700;20171219:0930-1700,Light Sweet Crude Oil,0.01,20171202:CLOSED;20171203:CLOSED;20171204:1800-1700;20171205:1800-1700;20171206:1800-1700;20171207:1800-1700;20171208:1800-1700;20171209:CLOSED;20171210:CLOSED;20171211:1800-1700;20171212:1800-1700;20171213:1800-1700;20171214:1800-1700;20171215:1800-1700;20171216:CLOSED;20171217:CLOSED;20171218:1800-1700;20171219:1800-1700,EST5EDT,17340715.0,,0.0,20171219,NYMEX,FUT,USD,CL20171219,20171201,1512201608
EUR,Euro(Floor+Electronic Combined)-CME,CU_0_I0R.TXT,@EU,125000,CU,CU,30,2750,1729.0,201712,20171202:CLOSED;20171203:CLOSED;20171204:0830-1600;20171205:0830-1600;20171206:0830-1600;20171207:0830-1600;20171208:0830-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1600;20171212:0830-1600;20171213:0830-1600;20171214:0830-1600;20171215:0830-1600;20171216:CLOSED;20171217:CLOSED;20171218:0830-0916,European Monetary Union Euro,5e-05,20171202:CLOSED;20171203:CLOSED;20171204:1700-1600;20171205:1700-1600;20171206:1700-1600;20171207:1700-1600;20171208:1700-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1600;20171212:1700-1600;20171213:1700-1600;20171214:1700-1600;20171215:1700-1600;20171216:CLOSED;20171217:CLOSED;20171218:1700-0916,CST,12087792.0,,0.0,20171218,GLOBEX,FUT,USD,EUR20171218,20171201,1512201608
EMD,Index-S&P Midcap 400 E-mini-CME,EMD0_I0R.TXT,@EMD,100,EMD,EMD,30,7200,1729.0,201712,"20171202:CLOSED;20171203:CLOSED;20171204:0830-1515,1530-1600;20171205:0830-1515,1530-1600;20171206:0830-1515,1530-1600;20171207:0830-1515,1530-1600;20171208:0830-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1515,1530-1600;20171212:0830-1515,1530-1600;20171213:0830-1515,1530-1600;20171214:0830-1515,1530-1600;20171215:CLOSED;20171216:CLOSED;20171217:CLOSED",E-mini S&P Midcap 400 Futures,0.1,"20171202:CLOSED;20171203:CLOSED;20171204:1700-1515,1530-1600;20171205:1700-1515,1530-1600;20171206:1700-1515,1530-1600;20171207:1700-1515,1530-1600;20171208:1700-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1515,1530-1600;20171212:1700-1515,1530-1600;20171213:1700-1515,1530-1600;20171214:1700-1515,1530-1600;20171215:1700-0830;20171216:CLOSED;20171217:CLOSED",CST,14218823.0,,0.0,20171215,GLOBEX,FUT,USD,EMD20171215,20171201,1512201608
ES,S&P 500 Index-E-mini-CME,ES_0_I0R.TXT,@ES,50,ES,ES,30,4750,1729.0,201712,"20171202:CLOSED;20171203:CLOSED;20171204:0830-1515,1530-1600;20171205:0830-1515,1530-1600;20171206:0830-1515,1530-1600;20171207:0830-1515,1530-1600;20171208:0830-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:0830-1515,1530-1600;20171212:0830-1515,1530-1600;20171213:0830-1515,1530-1600;20171214:0830-1515,1530-1600;20171215:CLOSED;20171216:CLOSED;20171217:CLOSED",E-mini S&P 500,0.25,"20171202:CLOSED;20171203:CLOSED;20171204:1700-1515,1530-1600;20171205:1700-1515,1530-1600;20171206:1700-1515,1530-1600;20171207:1700-1515,1530-1600;20171208:1700-1515,1530-1600;20171209:CLOSED;20171210:CLOSED;20171211:1700-1515,1530-1600;20171212:1700-1515,1530-1600;20171213:1700-1515,1530-1600;20171214:1700-1515,1530-1600;20171215:1700-0830;20171216:CLOSED;20171217:CLOSED",CST,11004968.0,,0.0,20171215,GLOBEX,FUT,USD,ES20171215,20171201,1512201608
GF,Cattle-Feeder-CME(Floor+Electronic Combined),FC_0_I0R.TXT,@GF,50000,FC,FC,10,3000,1729.0,201801,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,Feeder Cattle,0.00025,20171202:CLOSED;20171203:CLOSED;20171204:0830-1305;20171205:0830-1305;20171206:0830-1305;20171207:0830-1305;20171208:0830-1305;20171209:CLOSED;20171210:CLOSED;20171211:0830-1305;20171212:0830-1305;20171213:0830-1305;20171214:0830-1305;20171215:0830-1305;20171216:CLOSED;20171217:CLOSED;20171218:0830-1305;20171219:0830-1305;20171220:0830-1305;20171221:0830-1305;20171222:0830-1305;20171223:CLOSED;20171224:CLOSED;20171225:0830-1305;20171226:0830-1305;20171227:0830-1305;20171228:0830-1305;20171229:0830-1305;20171230:CLOSED;20171231:CLOSED;20180101:0830-1305;20180102:0830-1305;20180103:0830-1305;20180104:0830-1305;20180105:0830-1305,CST,32612420.0,,0.0,20180125,GLOBEX,FUT,USD,GF20180125,20171201,1512201608
