2017-11-01 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-11-01 00:00:00,Close2017-11-01 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-11-01 00:00:00,LastSRUN,SRUN2017-11-01 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-31 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-31 00:00:00,0.5SIG2017-10-30 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-31 00:00:00,0.75SIG2017-10-30 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-31 00:00:00,1SIG2017-10-30 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15,Date,timestamp
AC,@ACZ7,1.451,0.0224259145,0.0104456824513,1.0,1.0,-1.0,1.0,1.0,7.0,2017-10-20,650.3515205,1.0,1.0,1.0,42079.0,1.0,0.0104456824513,1.451,energy,1.0,1.0,2017-10-20,1.0,1.0,8.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
AD,@ADZ7,0.7664,0.005065,0.00156821745949,1.0,-1.0,1.0,-1.0,-1.0,12.0,2017-10-13,506.5,1.0,1.0,1.0,76640.0,1.0,0.00156821745949,0.7664,currency,1.0,1.0,2017-10-13,-1.0,-1.0,13.0,13.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,120.188186095,120.188186095,-120.188186095,120.188186095,120.188186095,-120.188186095,120.188186095,-120.188186095,120.188186095,-120.188186095,120.188186095,-120.188186095,120.188186095,120.188186095,-120.188186095,-120.188186095,-120.188186095,120.188186095,120.188186095,-120.188186095,-120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,120.188186095,0.0,0.0,120.188186095,20171101,1509582052
AEX,AEXX7,552.7,3.5337281585,0.00190338076679,1.0,1.0,-1.0,1.0,1.0,26.0,2017-09-25,821.238424035,1.0,1.0,1.0,128447.48,0.860585197935,0.00190338076679,552.7,index,1.0,1.0,2017-09-25,1.0,1.0,27.0,27.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
BO,@BOZ7,34.9,0.448,0.00431654676259,1.0,1.0,-1.0,1.0,1.0,20.0,2017-10-03,268.8,3.0,1.0,1.0,20940.0,1.0,0.00431654676259,34.9,grain,1.0,1.0,2017-10-03,1.0,1.0,21.0,21.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,271.165467626,271.165467626,271.165467626,-271.165467626,271.165467626,-271.165467626,271.165467626,-271.165467626,271.165467626,271.165467626,-271.165467626,271.165467626,-271.165467626,-271.165467626,271.165467626,271.165467626,271.165467626,-271.165467626,271.165467626,-271.165467626,271.165467626,-271.165467626,-271.165467626,-271.165467626,0.0,-271.165467626,-271.165467626,-271.165467626,-271.165467626,-271.165467626,-271.165467626,271.165467626,271.165467626,271.165467626,-271.165467626,20171101,1509582052
BP,@BPZ7,1.3266,0.009925,-0.00263138109917,-1.0,1.0,1.0,1.0,-1.0,14.0,2017-10-11,620.3125,1.0,1.0,1.0,82912.5,1.0,-0.00263138109917,1.3266,currency,1.0,1.0,2017-10-11,-1.0,-1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1.0,1.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-218.174385385,218.174385385,-218.174385385,218.174385385,-218.174385385,218.174385385,-218.174385385,218.174385385,-218.174385385,-218.174385385,-218.174385385,-218.174385385,218.174385385,218.174385385,218.174385385,218.174385385,218.174385385,-218.174385385,218.174385385,-218.174385385,218.174385385,218.174385385,218.174385385,218.174385385,218.174385385,218.174385385,-218.174385385,-218.174385385,-218.174385385,-218.174385385,-0.0,218.174385385,-218.174385385,-0.0,218.174385385,20171101,1509582052
C,@CZ7,348.25,4.0125,0.00723065798988,1.0,1.0,-1.0,1.0,1.0,-31.0,2017-09-18,200.625,4.0,1.0,1.0,17412.5,1.0,0.00723065798988,348.25,grain,1.0,1.0,2017-09-18,1.0,1.0,-32.0,-32.0,-1.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,503.615328995,503.615328995,-503.615328995,503.615328995,503.615328995,-503.615328995,503.615328995,-503.615328995,503.615328995,503.615328995,-503.615328995,503.615328995,-503.615328995,-503.615328995,503.615328995,503.615328995,503.615328995,-503.615328995,503.615328995,-503.615328995,-503.615328995,503.615328995,-503.615328995,0.0,-503.615328995,-503.615328995,-503.615328995,503.615328995,503.615328995,0.0,0.0,503.615328995,0.0,0.0,-503.615328995,20171101,1509582052
CC,@CCH8,2119.0,48.0486130695,0.014360938248,1.0,1.0,-1.0,1.0,1.0,-26.0,2017-09-25,480.486130695,2.0,1.0,1.0,21190.0,1.0,0.014360938248,2119.0,soft,1.0,1.0,2017-09-25,1.0,1.0,-27.0,-27.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20171101,1509582052
CD,@CDZ7,0.77665,0.0047675,0.00116016757976,1.0,-1.0,1.0,-1.0,-1.0,25.0,2017-09-26,476.75,2.0,1.0,1.0,77665.0,1.0,0.00116016757976,0.77665,currency,1.0,1.0,2017-09-26,-1.0,-1.0,26.0,26.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,180.208830164,180.208830164,-180.208830164,180.208830164,180.208830164,-180.208830164,180.208830164,-180.208830164,180.208830164,-180.208830164,180.208830164,-180.208830164,180.208830164,180.208830164,-180.208830164,-180.208830164,-180.208830164,180.208830164,180.208830164,-180.208830164,-180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,180.208830164,0.0,0.0,180.208830164,20171101,1509582052
CGB,CBZ7,137.19,0.4895,-0.0017463435931,-1.0,1.0,-1.0,1.0,-1.0,-20.0,2017-10-02,380.430558794,2.0,1.0,1.0,106621.590114,1.2867,-0.0017463435931,137.19,rates,-1.0,1.0,2017-10-02,-1.0,-1.0,-21.0,-21.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1.0,1,-1,-1.0,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,20171101,1509582052
CL,QCLZ7,54.3,1.0148258505,-0.00147112909158,-1.0,1.0,-1.0,1.0,-1.0,-17.0,2017-10-06,1014.8258505,1.0,1.0,1.0,54300.0,1.0,-0.00147112909158,54.3,energy,1.0,1.0,2017-10-06,-1.0,-1.0,-18.0,-18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,-79.8823096727,79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,79.8823096727,79.8823096727,-79.8823096727,79.8823096727,79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,79.8823096727,79.8823096727,79.8823096727,79.8823096727,79.8823096727,79.8823096727,-79.8823096727,79.8823096727,-79.8823096727,-0.0,-0.0,79.8823096727,-79.8823096727,-0.0,79.8823096727,20171101,1509582052
