DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,89100.0000,90712.5000,88875.0000,90625.0000,165260,528105,0,0,0.0000
19900103,90800.0000,91200.0000,90325.0000,90425.0000,207280,527320,0,0,0.0000
19900104,90375.0000,90650.0000,89025.0000,89962.5000,229355,524400,0,0,0.0000
19900105,89812.5000,89900.0000,88575.0000,88650.0000,213930,517660,0,0,0.0000
19900108,88537.5000,89600.0000,88400.0000,89387.5000,205720,528265,0,0,0.0000
19900109,89450.0000,89525.0000,87975.0000,88050.0000,223475,523300,0,0,0.0000
19900110,87975.0000,88300.0000,86675.0000,87825.0000,287205,525210,0,0,0.0000
19900111,88125.0000,88375.0000,87712.5000,87962.5000,201175,522955,0,0,0.0000
19900112,87000.0000,87000.0000,84962.5000,85237.5000,273455,525720,0,0,0.0000
19900115,85300.0000,85425.0000,84687.5000,84800.0000,187250,535210,0,0,0.0000
19900116,83875.0000,85750.0000,83825.0000,85525.0000,262765,536920,0,0,0.0000
19900117,85625.0000,86225.0000,84462.5000,84687.5000,284445,529625,0,0,0.0000
19900118,84250.0000,85312.5000,84000.0000,85212.5000,284870,525875,0,0,0.0000
19900119,85625.0000,85800.0000,85350.0000,85550.0000,186010,523595,0,0,0.0000
19900122,85500.0000,85687.5000,82575.0000,82850.0000,286040,539755,0,0,0.0000
19900123,83475.0000,83800.0000,82475.0000,82562.5000,325385,538665,0,0,0.0000
19900124,81312.5000,83437.5000,80875.0000,83275.0000,293630,542880,0,0,0.0000
19900125,83500.0000,83600.0000,81500.0000,81687.5000,275200,548855,0,0,0.0000
19900126,81875.0000,82625.0000,80550.0000,81700.0000,287115,555695,0,0,0.0000
19900129,82000.0000,82312.5000,80750.0000,81675.0000,279010,561900,0,0,0.0000
19900130,81800.0000,81975.0000,80187.5000,81300.0000,314570,563385,0,0,0.0000
19900131,81750.0000,82662.5000,81512.5000,82625.0000,280875,538150,0,0,0.0000
19900201,82700.0000,82837.5000,82225.0000,82525.0000,194140,540825,0,0,0.0000
19900202,82275.0000,83500.0000,82200.0000,83125.0000,207920,538050,0,0,0.0000
